Type,Threat/Content Type,Source address,Destination address,Application,Repeat Count,Source Port,Destination Port,IP Protocol,Threat/Content Name,Source Country,Destination Country,thr_category
THREAT,vulnerability,192.109.240.69,222.51.64.10,ssh,1,57644,22,tcp,SSH User Authentication Brute Force Attempt(40015),Poland,United States,brute-force
THREAT,vulnerability,192.109.240.69,222.51.64.10,ssh,1,57644,22,tcp,SSH User Authentication Brute Force Attempt(40015),Poland,United States,brute-force
THREAT,vulnerability,192.109.240.69,222.51.64.10,ssh,1,56140,22,tcp,SSH User Authentication Brute Force Attempt(40015),Poland,United States,brute-force
THREAT,vulnerability,192.109.240.69,222.51.64.10,ssh,1,56140,22,tcp,SSH User Authentication Brute Force Attempt(40015),Poland,United States,brute-force
THREAT,vulnerability,192.109.240.69,222.51.64.10,ssh,1,40212,22,tcp,SSH User Authentication Brute Force Attempt(40015),Poland,United States,brute-force
THREAT,vulnerability,192.109.240.69,222.51.64.10,ssh,1,60318,22,tcp,SSH User Authentication Brute Force Attempt(40015),Poland,United States,brute-force
THREAT,vulnerability,192.109.240.69,222.51.64.10,ssh,1,60318,22,tcp,SSH User Authentication Brute Force Attempt(40015),Poland,United States,brute-force
THREAT,vulnerability,192.109.240.69,222.51.64.10,ssh,2,35754,22,tcp,SSH User Authentication Brute Force Attempt(40015),Poland,United States,brute-force
THREAT,vulnerability,192.109.240.69,222.51.64.10,ssh,2,35754,22,tcp,SSH User Authentication Brute Force Attempt(40015),Poland,United States,brute-force
THREAT,vulnerability,192.109.240.69,222.51.64.10,ssh,1,51448,22,tcp,SSH User Authentication Brute Force Attempt(40015),Poland,United States,brute-force
THREAT,vulnerability,104.50.90.145,222.52.161.26,ssh,1,57228,22,tcp,SSH User Authentication Brute Force Attempt(40015),United States,United States,brute-force
THREAT,vulnerability,104.50.90.145,222.52.161.26,ssh,1,57228,22,tcp,SSH User Authentication Brute Force Attempt(40015),United States,United States,brute-force
THREAT,vulnerability,104.50.90.145,222.52.161.26,ssh,1,57226,22,tcp,SSH User Authentication Brute Force Attempt(40015),United States,United States,brute-force
THREAT,vulnerability,104.50.90.145,222.52.161.26,ssh,1,57226,22,tcp,SSH User Authentication Brute Force Attempt(40015),United States,United States,brute-force
THREAT,vulnerability,104.50.90.145,222.52.161.26,ssh,1,57223,22,tcp,SSH User Authentication Brute Force Attempt(40015),United States,United States,brute-force
THREAT,vulnerability,104.50.90.145,222.52.161.26,ssh,1,57223,22,tcp,SSH User Authentication Brute Force Attempt(40015),United States,United States,brute-force
THREAT,vulnerability,104.50.90.145,222.52.161.26,ssh,1,57219,22,tcp,SSH User Authentication Brute Force Attempt(40015),United States,United States,brute-force
THREAT,vulnerability,104.50.90.145,222.52.161.26,ssh,1,57219,22,tcp,SSH User Authentication Brute Force Attempt(40015),United States,United States,brute-force
THREAT,vulnerability,104.50.90.145,222.52.161.26,ssh,1,57215,22,tcp,SSH User Authentication Brute Force Attempt(40015),United States,United States,brute-force
THREAT,vulnerability,51.79.21.228,222.51.64.12,ssh,1,39056,22,tcp,SSH User Authentication Brute Force Attempt(40015),Canada,United States,brute-force
THREAT,vulnerability,51.79.21.228,222.51.64.12,ssh,1,39056,22,tcp,SSH User Authentication Brute Force Attempt(40015),Canada,United States,brute-force
THREAT,vulnerability,104.50.90.145,222.52.161.26,ssh,1,56201,22,tcp,SSH User Authentication Brute Force Attempt(40015),United States,United States,brute-force
THREAT,vulnerability,104.50.90.145,222.52.161.26,ssh,1,56201,22,tcp,SSH User Authentication Brute Force Attempt(40015),United States,United States,brute-force
THREAT,vulnerability,104.50.90.145,222.52.161.26,ssh,1,56183,22,tcp,SSH User Authentication Brute Force Attempt(40015),United States,United States,brute-force
THREAT,vulnerability,104.50.90.145,222.52.161.26,ssh,2,56171,22,tcp,SSH User Authentication Brute Force Attempt(40015),United States,United States,brute-force
THREAT,vulnerability,51.79.21.228,222.51.64.39,ssh,1,52634,22,tcp,SSH User Authentication Brute Force Attempt(40015),Canada,United States,brute-force
THREAT,vulnerability,51.79.21.228,222.51.65.53,ssh,1,43240,22,tcp,SSH User Authentication Brute Force Attempt(40015),Canada,United States,brute-force
THREAT,vulnerability,51.79.21.228,222.51.65.53,ssh,1,43240,22,tcp,SSH User Authentication Brute Force Attempt(40015),Canada,United States,brute-force
THREAT,vulnerability,51.79.21.228,222.51.64.14,ssh,1,47534,22,tcp,SSH User Authentication Brute Force Attempt(40015),Canada,United States,brute-force
THREAT,vulnerability,51.79.21.228,222.51.64.14,ssh,1,47534,22,tcp,SSH User Authentication Brute Force Attempt(40015),Canada,United States,brute-force
THREAT,vulnerability,51.79.21.228,222.51.64.14,ssh,1,44142,22,tcp,SSH User Authentication Brute Force Attempt(40015),Canada,United States,brute-force
THREAT,vulnerability,104.50.90.145,222.52.161.26,ssh,1,49894,22,tcp,SSH User Authentication Brute Force Attempt(40015),United States,United States,brute-force
THREAT,vulnerability,103.125.191.115,222.51.65.53,ssh,1,64382,22,tcp,SSH User Authentication Brute Force Attempt(40015),Viet Nam,United States,brute-force
THREAT,vulnerability,103.133.106.244,222.51.64.14,ssh,1,59076,22,tcp,SSH User Authentication Brute Force Attempt(40015),Viet Nam,United States,brute-force
THREAT,vulnerability,103.133.106.244,222.51.64.14,ssh,1,59076,22,tcp,SSH User Authentication Brute Force Attempt(40015),Viet Nam,United States,brute-force
THREAT,vulnerability,103.133.106.244,222.51.65.53,ssh,1,57589,22,tcp,SSH User Authentication Brute Force Attempt(40015),Viet Nam,United States,brute-force
THREAT,vulnerability,103.133.106.244,222.51.65.53,ssh,1,57589,22,tcp,SSH User Authentication Brute Force Attempt(40015),Viet Nam,United States,brute-force
THREAT,vulnerability,103.133.106.244,222.51.64.39,ssh,1,56360,22,tcp,SSH User Authentication Brute Force Attempt(40015),Viet Nam,United States,brute-force
THREAT,vulnerability,103.133.106.244,222.51.64.10,ssh,1,56124,22,tcp,SSH User Authentication Brute Force Attempt(40015),Viet Nam,United States,brute-force
THREAT,vulnerability,103.133.106.244,222.51.64.39,ssh,1,56360,22,tcp,SSH User Authentication Brute Force Attempt(40015),Viet Nam,United States,brute-force
THREAT,vulnerability,103.133.106.244,222.51.64.10,ssh,1,56124,22,tcp,SSH User Authentication Brute Force Attempt(40015),Viet Nam,United States,brute-force
THREAT,vulnerability,103.133.106.244,222.51.64.12,ssh,1,55903,22,tcp,SSH User Authentication Brute Force Attempt(40015),Viet Nam,United States,brute-force
THREAT,vulnerability,103.133.106.244,222.51.64.12,ssh,1,55903,22,tcp,SSH User Authentication Brute Force Attempt(40015),Viet Nam,United States,brute-force
THREAT,vulnerability,103.133.106.244,222.51.64.10,ssh,1,55025,22,tcp,SSH User Authentication Brute Force Attempt(40015),Viet Nam,United States,brute-force
THREAT,vulnerability,208.113.129.65,222.51.64.39,ssh,1,50546,22,tcp,SSH User Authentication Brute Force Attempt(40015),United States,United States,brute-force
THREAT,vulnerability,208.113.129.65,222.51.64.39,ssh,2,57436,22,tcp,SSH User Authentication Brute Force Attempt(40015),United States,United States,brute-force
THREAT,vulnerability,208.113.129.65,222.51.64.12,ssh,1,58262,22,tcp,SSH User Authentication Brute Force Attempt(40015),United States,United States,brute-force
THREAT,vulnerability,208.113.129.65,222.51.64.12,ssh,3,56326,22,tcp,SSH User Authentication Brute Force Attempt(40015),United States,United States,brute-force
THREAT,vulnerability,208.113.129.65,222.51.64.12,ssh,2,56326,22,tcp,SSH User Authentication Brute Force Attempt(40015),United States,United States,brute-force
THREAT,vulnerability,208.113.167.204,222.51.64.12,ssh,1,55180,22,tcp,SSH User Authentication Brute Force Attempt(40015),United States,United States,brute-force
THREAT,vulnerability,208.113.167.204,222.51.64.12,ssh,1,55180,22,tcp,SSH User Authentication Brute Force Attempt(40015),United States,United States,brute-force
THREAT,vulnerability,208.113.167.204,222.51.64.12,ssh,1,52078,22,tcp,SSH User Authentication Brute Force Attempt(40015),United States,United States,brute-force
THREAT,vulnerability,39.116.31.62,222.52.163.45,ssh,2,58178,22,tcp,SSH User Authentication Brute Force Attempt(40015),Korea Republic Of,United States,brute-force
THREAT,vulnerability,39.116.31.62,222.51.64.14,ssh,1,40684,22,tcp,SSH User Authentication Brute Force Attempt(40015),Korea Republic Of,United States,brute-force
THREAT,vulnerability,39.116.31.62,222.51.64.14,ssh,1,40684,22,tcp,SSH User Authentication Brute Force Attempt(40015),Korea Republic Of,United States,brute-force
THREAT,vulnerability,39.116.31.62,222.51.64.14,ssh,1,51536,22,tcp,SSH User Authentication Brute Force Attempt(40015),Korea Republic Of,United States,brute-force
THREAT,vulnerability,39.116.31.62,222.51.64.14,ssh,1,51536,22,tcp,SSH User Authentication Brute Force Attempt(40015),Korea Republic Of,United States,brute-force
THREAT,vulnerability,39.116.31.62,222.52.163.45,ssh,4,34500,22,tcp,SSH User Authentication Brute Force Attempt(40015),Korea Republic Of,United States,brute-force
THREAT,vulnerability,39.116.31.62,222.52.163.45,ssh,2,60340,22,tcp,SSH User Authentication Brute Force Attempt(40015),Korea Republic Of,United States,brute-force
THREAT,vulnerability,39.116.31.62,222.52.163.45,ssh,4,36658,22,tcp,SSH User Authentication Brute Force Attempt(40015),Korea Republic Of,United States,brute-force
THREAT,vulnerability,39.116.31.62,222.52.163.45,ssh,7,37346,22,tcp,SSH User Authentication Brute Force Attempt(40015),Korea Republic Of,United States,brute-force
THREAT,vulnerability,39.116.31.62,222.51.64.14,ssh,2,53692,22,tcp,SSH User Authentication Brute Force Attempt(40015),Korea Republic Of,United States,brute-force
THREAT,vulnerability,39.116.31.62,222.52.163.45,ssh,8,38828,22,tcp,SSH User Authentication Brute Force Attempt(40015),Korea Republic Of,United States,brute-force
THREAT,vulnerability,39.116.31.62,222.51.64.14,ssh,4,36322,22,tcp,SSH User Authentication Brute Force Attempt(40015),Korea Republic Of,United States,brute-force
THREAT,vulnerability,39.116.31.62,222.52.163.45,ssh,4,39504,22,tcp,SSH User Authentication Brute Force Attempt(40015),Korea Republic Of,United States,brute-force
THREAT,vulnerability,39.116.31.62,222.51.64.14,ssh,2,36322,22,tcp,SSH User Authentication Brute Force Attempt(40015),Korea Republic Of,United States,brute-force
THREAT,vulnerability,39.116.31.62,222.51.64.14,ssh,3,38464,22,tcp,SSH User Authentication Brute Force Attempt(40015),Korea Republic Of,United States,brute-force
THREAT,vulnerability,39.116.31.62,222.51.64.14,ssh,3,38464,22,tcp,SSH User Authentication Brute Force Attempt(40015),Korea Republic Of,United States,brute-force
THREAT,vulnerability,39.116.31.62,222.52.163.45,ssh,8,38600,22,tcp,SSH User Authentication Brute Force Attempt(40015),Korea Republic Of,United States,brute-force
THREAT,vulnerability,39.116.31.62,222.52.163.45,ssh,6,32984,22,tcp,SSH User Authentication Brute Force Attempt(40015),Korea Republic Of,United States,brute-force
THREAT,vulnerability,39.116.31.62,222.51.64.14,ssh,1,58024,22,tcp,SSH User Authentication Brute Force Attempt(40015),Korea Republic Of,United States,brute-force
THREAT,vulnerability,39.116.31.62,222.51.64.14,ssh,2,49326,22,tcp,SSH User Authentication Brute Force Attempt(40015),Korea Republic Of,United States,brute-force
THREAT,vulnerability,39.116.31.62,222.52.163.45,ssh,5,40752,22,tcp,SSH User Authentication Brute Force Attempt(40015),Korea Republic Of,United States,brute-force
THREAT,vulnerability,39.116.31.62,222.52.163.45,ssh,8,40696,22,tcp,SSH User Authentication Brute Force Attempt(40015),Korea Republic Of,United States,brute-force
THREAT,vulnerability,39.116.31.62,222.52.163.45,ssh,2,32858,22,tcp,SSH User Authentication Brute Force Attempt(40015),Korea Republic Of,United States,brute-force
THREAT,vulnerability,39.116.31.62,222.51.64.14,ssh,1,57898,22,tcp,SSH User Authentication Brute Force Attempt(40015),Korea Republic Of,United States,brute-force
THREAT,vulnerability,39.116.31.62,222.51.64.14,ssh,1,57898,22,tcp,SSH User Authentication Brute Force Attempt(40015),Korea Republic Of,United States,brute-force
THREAT,vulnerability,39.116.31.62,222.51.64.14,ssh,1,33988,22,tcp,SSH User Authentication Brute Force Attempt(40015),Korea Republic Of,United States,brute-force
THREAT,vulnerability,39.116.31.62,222.51.64.14,ssh,1,33988,22,tcp,SSH User Authentication Brute Force Attempt(40015),Korea Republic Of,United States,brute-force
THREAT,vulnerability,39.116.31.62,222.52.163.45,ssh,5,60104,22,tcp,SSH User Authentication Brute Force Attempt(40015),Korea Republic Of,United States,brute-force
THREAT,vulnerability,39.116.31.62,222.52.163.45,ssh,6,52868,22,tcp,SSH User Authentication Brute Force Attempt(40015),Korea Republic Of,United States,brute-force
THREAT,vulnerability,39.116.31.62,222.52.163.45,ssh,1,36510,22,tcp,SSH User Authentication Brute Force Attempt(40015),Korea Republic Of,United States,brute-force
THREAT,vulnerability,39.116.31.62,222.51.64.14,ssh,2,53552,22,tcp,SSH User Authentication Brute Force Attempt(40015),Korea Republic Of,United States,brute-force
THREAT,vulnerability,39.116.31.62,222.52.163.45,ssh,10,53636,22,tcp,SSH User Authentication Brute Force Attempt(40015),Korea Republic Of,United States,brute-force
THREAT,vulnerability,39.116.31.62,222.51.64.14,ssh,2,53552,22,tcp,SSH User Authentication Brute Force Attempt(40015),Korea Republic Of,United States,brute-force
THREAT,vulnerability,39.116.31.62,222.51.64.14,ssh,1,36210,22,tcp,SSH User Authentication Brute Force Attempt(40015),Korea Republic Of,United States,brute-force
THREAT,vulnerability,39.116.31.62,222.52.163.45,ssh,8,36196,22,tcp,SSH User Authentication Brute Force Attempt(40015),Korea Republic Of,United States,brute-force
THREAT,vulnerability,39.116.31.62,222.51.64.14,ssh,2,55654,22,tcp,SSH User Authentication Brute Force Attempt(40015),Korea Republic Of,United States,brute-force
THREAT,vulnerability,39.116.31.62,222.52.163.45,ssh,6,55830,22,tcp,SSH User Authentication Brute Force Attempt(40015),Korea Republic Of,United States,brute-force
THREAT,vulnerability,39.116.31.62,222.52.163.45,ssh,10,38368,22,tcp,SSH User Authentication Brute Force Attempt(40015),Korea Republic Of,United States,brute-force
THREAT,vulnerability,39.116.31.62,222.52.163.45,ssh,3,60368,22,tcp,SSH User Authentication Brute Force Attempt(40015),Korea Republic Of,United States,brute-force
THREAT,vulnerability,39.116.31.62,222.52.163.45,ssh,9,40528,22,tcp,SSH User Authentication Brute Force Attempt(40015),Korea Republic Of,United States,brute-force
THREAT,vulnerability,39.116.31.62,222.52.163.45,ssh,5,34984,22,tcp,SSH User Authentication Brute Force Attempt(40015),Korea Republic Of,United States,brute-force
THREAT,vulnerability,104.50.90.145,222.52.161.26,ssh,1,52197,22,tcp,SSH User Authentication Brute Force Attempt(40015),United States,United States,brute-force
THREAT,vulnerability,104.50.90.145,222.52.161.26,ssh,1,52196,22,tcp,SSH User Authentication Brute Force Attempt(40015),United States,United States,brute-force
THREAT,vulnerability,104.50.90.145,222.52.161.26,ssh,1,52196,22,tcp,SSH User Authentication Brute Force Attempt(40015),United States,United States,brute-force
THREAT,vulnerability,104.50.90.145,222.52.161.26,ssh,1,52175,22,tcp,SSH User Authentication Brute Force Attempt(40015),United States,United States,brute-force
THREAT,vulnerability,104.50.90.145,222.52.161.26,ssh,1,52175,22,tcp,SSH User Authentication Brute Force Attempt(40015),United States,United States,brute-force
THREAT,vulnerability,104.50.90.145,222.52.161.26,ssh,1,52173,22,tcp,SSH User Authentication Brute Force Attempt(40015),United States,United States,brute-force
THREAT,vulnerability,104.50.90.145,222.52.161.26,ssh,1,52173,22,tcp,SSH User Authentication Brute Force Attempt(40015),United States,United States,brute-force
THREAT,vulnerability,51.15.88.139,222.51.65.53,ssh,1,50982,22,tcp,SSH User Authentication Brute Force Attempt(40015),Netherlands,United States,brute-force
THREAT,vulnerability,51.15.88.139,222.51.64.12,ssh,1,40166,22,tcp,SSH User Authentication Brute Force Attempt(40015),Netherlands,United States,brute-force
THREAT,vulnerability,170.210.83.86,222.51.64.39,ssh,1,59136,22,tcp,SSH User Authentication Brute Force Attempt(40015),Argentina,United States,brute-force
THREAT,vulnerability,170.210.83.86,222.51.64.39,ssh,1,59136,22,tcp,SSH User Authentication Brute Force Attempt(40015),Argentina,United States,brute-force
THREAT,vulnerability,170.210.83.86,222.51.65.53,ssh,1,38285,22,tcp,SSH User Authentication Brute Force Attempt(40015),Argentina,United States,brute-force
THREAT,vulnerability,170.210.83.86,222.51.64.10,ssh,1,34361,22,tcp,SSH User Authentication Brute Force Attempt(40015),Argentina,United States,brute-force
THREAT,vulnerability,170.210.83.86,222.51.64.10,ssh,1,34361,22,tcp,SSH User Authentication Brute Force Attempt(40015),Argentina,United States,brute-force
THREAT,vulnerability,170.210.83.86,222.51.64.14,ssh,1,34885,22,tcp,SSH User Authentication Brute Force Attempt(40015),Argentina,United States,brute-force
THREAT,vulnerability,170.210.83.86,222.51.65.53,ssh,1,38285,22,tcp,SSH User Authentication Brute Force Attempt(40015),Argentina,United States,brute-force
THREAT,vulnerability,170.210.83.86,222.51.64.14,ssh,1,34885,22,tcp,SSH User Authentication Brute Force Attempt(40015),Argentina,United States,brute-force
THREAT,vulnerability,170.210.83.86,222.51.64.10,ssh,1,58468,22,tcp,SSH User Authentication Brute Force Attempt(40015),Argentina,United States,brute-force
THREAT,vulnerability,51.15.88.139,222.51.64.14,ssh,1,54492,22,tcp,SSH User Authentication Brute Force Attempt(40015),Netherlands,United States,brute-force
THREAT,vulnerability,51.15.88.139,222.51.64.39,ssh,1,33060,22,tcp,SSH User Authentication Brute Force Attempt(40015),Netherlands,United States,brute-force
THREAT,vulnerability,61.161.143.170,222.51.65.53,ssh,3,39306,22,tcp,SSH User Authentication Brute Force Attempt(40015),China,United States,brute-force
THREAT,vulnerability,61.161.143.170,222.51.65.53,ssh,3,39306,22,tcp,SSH User Authentication Brute Force Attempt(40015),China,United States,brute-force
THREAT,vulnerability,61.161.143.170,222.51.64.10,ssh,1,54072,22,tcp,SSH User Authentication Brute Force Attempt(40015),China,United States,brute-force
THREAT,vulnerability,61.161.143.170,222.51.64.10,ssh,2,54786,22,tcp,SSH User Authentication Brute Force Attempt(40015),China,United States,brute-force
THREAT,vulnerability,61.161.143.170,222.51.64.10,ssh,3,54786,22,tcp,SSH User Authentication Brute Force Attempt(40015),China,United States,brute-force
THREAT,vulnerability,61.161.143.170,222.51.64.10,ssh,1,46236,22,tcp,SSH User Authentication Brute Force Attempt(40015),China,United States,brute-force
THREAT,vulnerability,104.50.90.145,222.52.161.26,ssh,1,62439,22,tcp,SSH User Authentication Brute Force Attempt(40015),United States,United States,brute-force
THREAT,vulnerability,104.50.90.145,222.52.161.26,ssh,2,62438,22,tcp,SSH User Authentication Brute Force Attempt(40015),United States,United States,brute-force
THREAT,vulnerability,104.50.90.145,222.52.161.26,ssh,1,62438,22,tcp,SSH User Authentication Brute Force Attempt(40015),United States,United States,brute-force
THREAT,vulnerability,104.50.90.145,222.52.161.26,ssh,1,62437,22,tcp,SSH User Authentication Brute Force Attempt(40015),United States,United States,brute-force
THREAT,vulnerability,192.210.236.38,222.51.64.39,ssh,1,54408,22,tcp,SSH User Authentication Brute Force Attempt(40015),United States,United States,brute-force
THREAT,vulnerability,192.210.236.38,222.51.64.39,ssh,2,51026,22,tcp,SSH User Authentication Brute Force Attempt(40015),United States,United States,brute-force
THREAT,vulnerability,104.50.90.145,222.52.161.26,ssh,1,58725,22,tcp,SSH User Authentication Brute Force Attempt(40015),United States,United States,brute-force
THREAT,vulnerability,104.50.90.145,222.52.161.26,ssh,1,58048,22,tcp,SSH User Authentication Brute Force Attempt(40015),United States,United States,brute-force
THREAT,vulnerability,104.50.90.145,222.52.161.26,ssh,2,58048,22,tcp,SSH User Authentication Brute Force Attempt(40015),United States,United States,brute-force
